source_file,school,demographic_or_level,field,value
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Female,Climate Index,77.3
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Female,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Male,Climate Index,75.9
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Male,Safety Index,72.4
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,African American,Climate Index,75.2
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,African American,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Hispanic or Latino,Climate Index,75.9
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Hispanic or Latino,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Two or More Races,Climate Index,71.0
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Two or More Races,Safety Index,70.6
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,White (non-Hispanic),Climate Index,77.1
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,White (non-Hispanic),Safety Index,72.4
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Economically Disadvantaged,Climate Index,76.6
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Economically Disadvantaged,Safety Index,72.4
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non Economically Disadvantaged,Climate Index,76.4
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Non Economically Disadvantaged,Safety Index,72.0
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),Climate Index,79.2
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Students with Disabilities (IEP),Safety Index,75.0
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Student without Disabilities (IEP),Climate Index,75.9
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,Student without Disabilities (IEP),Safety Index,71.6
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,English Learner including Monitored,Climate Index,75.6
