district,leaid,closed_for_sy,schools_closed,students_displaced,includes_elementary,town_lost_last_school,new_school_built_within_2yrs,school_names,district_exp_pre,district_enr_pre,district_exp_post3,district_enr_post3,state_median_exp_growth,gap_vs_trend_per_year,gap_per_displaced_student,flag_plausible_magnitude,flag_finance_clean,score_pre,score_post3,score_change_vs_state
McLean County,2104020,1995,1,84,True,False,True,ISLAND EL,,,,,,,,,False,,,
Meade County,2104050,1997,1,259,True,False,True,CENTRAL EL,18517000,4330,23083000,4717,0.1319,-2122987,-8197,True,True,,,
Meade County,2104050,2012,1,83,True,True,False,BATTLETOWN ELEMENTARY SCHOOL,40400000,5158,41119000,5078,0.0197,77657,936,True,True,53.5,55.5,-3.5
Meade County,2104050,2023,1,9,False,False,False,Brandenburg High School,,,,,,,,,False,,,
Menifee County,2104080,2009,1,259,False,False,False,MENIFEE COUNTY MIDDLE SCHOOL,10322000,1112,11439000,1108,0.0626,-470632,-1817,True,True,,,
Menifee County,2104080,2021,2,631,True,False,True,Botts Elementary School; Menifee Elementary School,,,,,,,,,False,,,
Mercer County,2104110,2006,1,717,False,False,True,MERCER COUNTY HIGH SCHOOL,15119000,2367,28345000,3246,0.2005,-10194917,-14219,False,True,,,
Mercer County,2104110,2007,1,193,False,False,True,HARRODSBURG MIDDLE SCHOOL,16474000,2395,28849000,3197,0.1523,-9865691,-51118,False,True,,,
Mercer County,2104110,2010,1,720,True,False,True,EVAN HARLOW ELEMENTARY SCHOOL,28345000,3246,25968000,3034,0.0515,3837872,5330,True,True,,,
Metcalfe County,2104140,2012,1,125,False,False,True,METCALFE 6TH GRADE CENTER,17111000,1672,16850000,1655,0.0197,598416,4787,True,True,47.0,46.5,-6.0
Metcalfe County,2104140,2013,3,817,True,True,True,EDMONTON ELEMENTARY SCHOOL; NORTH METCALFE ELEMENTARY SCHOOL; SUMMER SHADE ELEMENTARY SCHOOL,17028000,1637,15990000,1660,0.0374,1674447,2050,True,True,47.5,43.5,-10.5
Metcalfe County,2104140,2014,1,450,True,False,False,METCALFE COUNTY PRIMARY CENTER,16805000,1632,16662000,1657,0.0667,1263059,2807,True,True,48.0,40.0,-9.5
Monroe County,2104200,2016,1,17,False,False,False,Falcon Academy,19451000,1882,22825000,1804,0.1339,-770287,-45311,False,True,55.5,61.5,7.0
Montgomery County,2104250,2018,1,737,False,False,True,Montgomery County Intermediate School,45709000,4901,46413000,4460,0.1366,5542099,7520,True,True,,,
Montgomery County,2104250,2019,1,20,False,True,False,Hope Hill Childrens Home,,,,,,,,,False,,,
MONTICELLO INDEPENDENT,2104260,2013,3,812,True,False,False,MONTICELLO MIDDLE SCHOOL; MONTICELLO HIGH SCHOOL; MONTICELLO ELEMENTARY SCHOOL,,,,,,,,,False,,,
Morgan County,2104290,1996,1,145,True,False,True,CROCKETT EL,,,,,,,,,False,,,
